sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Final_Label
TCGA-AO-A129-01,-2.3322668,-0.49371347,-1.2432569,-0.86517084,-0.89403665,0.26959682,0.5243924,1.8157403,1.0541573,-0.45757392,-0.21182454,0.11114328,1.6130245,-0.11799052,1.2732127,3.4684439,0.28068706,0.33749658,-1.528787,0.2768117,Basal
TCGA-A8-A08I-01,0.8256536,-0.51402617,-2.6417656,0.30908024,1.8419509,-1.3501354,1.2302136,0.30229667,-0.44495496,0.0521358,0.4278017,-1.5387506,0.24095319,2.3012245,1.3846458,-3.050596,-1.2732127,2.7162147,-2.1857507,-0.071561866,LumB
TCGA-C8-A130-01,-0.30941793,0.20598894,-0.05133288,0.28049502,0.44397718,-0.0019040182,0.04229741,0.32234463,0.19126451,-0.41396198,-0.8514457,0.7064319,-0.7385581,-0.43484047,0.5030407,1.090283,0.15765989,-0.06250307,-0.15096183,0.92989534,LumB
TCGA-C8-A1HI-01,-1.106437,1.2165344,-0.32554412,1.2344222,0.5956697,0.47797912,-1.1680666,-0.15735543,-0.30284488,-0.82681566,0.42439213,0.99123174,-1.1643646,0.38221124,0.9474365,0.77508324,1.8420372,1.5866784,-0.78283936,0.37040126,LumA
TCGA-AO-A1KT-01,-0.32874015,0.4838846,-0.17753287,-0.39658535,0.10972354,0.30717772,-1.2270129,0.28100726,0.13478929,0.50173116,-0.8634176,2.3767028,-0.43822682,-1.0420866,-1.0276984,0.18725608,0.7078918,-0.4892466,1.0789632,-0.4768037,LumB
TCGA-C8-A12W-01,1.2340682,-0.11312699,-2.8177047,-2.5872033,0.20462532,-0.5149969,-1.4605685,0.36844438,-1.3723422,1.1605237,-0.97245365,1.888433,0.02080572,0.15370484,-0.8802702,-1.0643604,-0.046738416,-0.18138003,0.9811913,-0.8794521,LumB
TCGA-E9-A247-01,0.037358083,1.0315537,0.33439907,1.2244577,0.9217469,-1.0581539,-1.0503004,-0.5832012,-0.023251213,-0.37464336,0.11064496,0.38198006,-1.2982874,-0.18430088,1.1489625,0.4559706,-0.1517352,-0.38192645,0.18887773,1.1104848,LumA
TCGA-AQ-A1H3-01,-1.0694157,0.06319886,-1.0157391,0.6509416,0.5048727,0.21486603,0.56293416,0.111120746,0.27405292,-0.7777183,-0.68455845,0.262896,0.6726441,0.18854137,-0.37426394,-0.46308666,0.93543017,1.7506906,-0.2118016,-0.91625607,LumA
TCGA-B6-A1KI-01,-0.88181,0.96505785,1.7607089,2.5237055,1.2241169,1.1627656,0.67229515,-0.4833189,0.60141075,-0.94090885,0.038126014,0.46726832,-0.45370057,-0.82820827,-0.6256891,-1.0819254,1.1285467,0.1947983,1.127001,-0.31816852,LumA
TCGA-EW-A1J1-01,2.1300642,0.5775719,-2.5277653,0.63972026,1.3746482,0.6360738,0.7920047,0.50051725,-0.18036741,0.62388843,0.62378746,-0.24026752,0.18037453,1.1286852,-0.20641118,-3.2949243,0.2968002,0.3779701,0.005239631,1.5726001,LumA
