"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_KRAS_SIGNALING_UP",0.036,0.096,0.237793834423688,0.380776878775205,1.27152871501352,110,"8404/9590/10418/9358/2162/3481/7102/5396/3075/5243/2115/8854/9314/629/9945/3673/90865/3624/2012/1363/1149/3800/639/55273/7869/55107/2150/2995/4674/7035/3394/3976/4320/5649/5284/10103/3575/10912/347/5950/12/4319/220/10457/7805/5593/2982/3290/6004/50486/9892/5328"
"HALLMARK_DNA_REPAIR",0.0942855725649452,0.226285374155868,0.287805130535564,-0.541779001318463,-1.37495990442899,6,"5888/7298/11130"
"HALLMARK_FATTY_ACID_METABOLISM",0.0912863070539419,0.226285374155868,0.147331213699377,0.449944887128055,1.31384802069562,29,"8639/11185/216/92840/2819/364/1149/3158/948/126/4128/762/658/3248/33/2326/50486/1718"
"HALLMARK_ANDROGEN_RESPONSE",0.104234527687296,0.238250348999535,0.140406238523342,0.503337387466525,1.32430743082927,16,"9590/10788/25803/79689/9510/658/220/3248/2982/563/1718"
"HALLMARK_NOTCH_SIGNALING",0.176638176638177,0.385392385392385,0.121543282035469,0.718576709796673,1.22150180071552,3,"7474/7472/1840"
"HALLMARK_HEDGEHOG_SIGNALING",0.196648044692737,0.393296089385475,0.0988903007520636,0.488143541070072,1.22581599438318,13,"7070/6252/8633/9620/7857/4825/5340"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.194871794871795,0.393296089385475,0.231126709673834,-0.528423638961643,-1.2225352436965,5,"8140/29968"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.212250712250712,0.407521367521368,0.109250039480711,0.695702402957486,1.18261798133583,3,"5166/4129/481"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.228571428571429,0.421978021978022,0.0891647117820678,0.460179981352629,1.1915520017089,15,"493869/552/5468/7869/312/4023/116496"
"HALLMARK_APICAL_SURFACE",0.269353128313892,0.461748219966672,0.0782955249944794,0.426439259186727,1.16013058933419,19,"7070/8406/2619/146760/2625/5205/80274"
