sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Final_Label
TCGA-E2-A1IF-01,-0.523527,0.20434111,0.011483822,1.0235734,-1.4332325,1.2653677,-1.2815888,-0.12718028,-0.5042561,-1.1913663,0.4370666,-1.0426805,-2.1061718,-1.1382338,-1.2707671,0.39453292,-0.3174151,1.1415507,1.5509026,1.5292444,-0.8044932,-1.0932772,-0.46135247,-0.3752805,0.07633239,-0.63470393,0.42132288,0.71515644,1.7395421,1.5370154,-1.6484895,0.7700308,0.7628399,-0.7871561,1.9739189,-2.899136,-0.2938473,0.03598863,-0.67052627,-2.0610793,LumA
TCGA-E2-A1L8-01,-0.30756494,0.10314136,0.46670422,0.483373,-1.20627,-0.27472985,-0.46253982,0.09661839,-0.17940654,-0.5216246,0.24990267,0.5317243,-0.7138489,-0.7664829,-1.1698955,1.3852825,-1.8935791,0.39278597,0.3104424,0.31180227,-0.8455369,-0.41266918,-0.23104784,0.1940321,0.41851223,-0.8273987,0.32198137,0.5798791,1.8657339,0.43465683,-1.0982295,0.2614423,0.32308713,-1.4861158,0.049382627,-0.7266964,-0.10606097,-0.64432967,-1.0936184,-0.0751773,LumA
TCGA-AO-A0JE-01,-1.4063866,0.529221,-0.25786087,-0.29463327,0.8598849,-0.01223442,0.39445227,0.21400757,0.14331564,0.86963093,-0.16030838,-2.4470024,-0.13698867,-0.30205268,0.7434437,-0.6584475,0.3874555,2.668279,0.44796705,0.8715239,-0.98558164,0.13069247,0.6160876,0.41789174,-0.8715917,-0.48078072,-0.6143966,-0.5007541,2.6226695,-0.096522845,0.60937244,0.68234646,-0.8593565,-0.57831013,0.661039,0.32107088,0.35629222,0.41714957,0.47475836,1.1576718,Her2
TCGA-E2-A158-01,0.12962517,-1.0052115,0.5315568,-0.1459246,0.009452291,-0.5780474,0.2926948,0.292485,-0.4114867,-1.1164062,0.63931465,2.000086,0.1864064,-0.14966412,-0.11329314,-0.588745,2.7574499,-0.41788656,1.0059791,-1.1440189,0.88024676,0.5353463,-1.4495295,1.193959,-0.3620966,0.16194852,1.5867038,1.5461384,-3.9107542,0.44339928,-0.22180957,-0.9604333,1.0804324,2.3658957,-2.2551713,-1.0297307,-0.426551,-0.40870845,0.79271835,-3.4031978,Basal
TCGA-D8-A27I-01,0.2666032,1.3551785,0.4259217,-0.32073873,-0.972379,0.062078103,-0.16286263,-1.7226053,0.17092259,-1.5812675,0.15829408,-0.9542636,-0.032832548,0.13136482,-0.10602482,-0.18279347,-2.3302486,-0.62632316,0.62440985,2.759155,-1.3869119,0.17502339,-0.120572954,-0.3866939,0.9940439,0.08236541,0.073457405,-0.26164463,1.4016464,0.9297715,0.7475895,0.038388856,-0.3100883,1.0433352,3.550857,1.4814581,0.15210223,0.07402104,0.48911774,-1.2831614,LumA
TCGA-BH-A0H3-01,0.024259962,0.4422564,-0.289851,-0.40478596,0.20362279,-0.3035979,-0.59675986,0.025532914,0.2010598,-1.0763673,0.00027547032,-0.81864345,0.33043453,0.40800822,0.23974895,-0.21934497,-1.4061745,-0.33208746,0.81476384,1.9395117,-0.5020645,0.31558898,0.023844771,0.0034012794,0.75967133,0.35241207,-0.24355508,-0.49014232,1.7541292,0.20995441,0.08685837,-0.06129434,-0.15287271,0.5197321,2.1163626,0.3115532,-0.5766532,-0.21383429,0.33247742,-0.3930775,LumA
TCGA-AR-A0TX-01,-0.7223451,1.770845,-0.39627513,0.059953406,0.21977422,0.5282187,1.2124591,-1.2572209,0.34525108,-0.8843894,1.5550455,-2.9322648,-0.9642711,-0.47332263,0.3474133,-0.31751767,0.007886464,1.1306249,0.104648754,0.2567901,-1.994286,-0.45436257,0.02327115,-1.17816,0.008728422,-0.10487321,-0.4099242,-0.8378964,1.4572022,0.44760126,0.25465798,0.7669784,0.07058683,0.13930729,2.0171423,1.6319004,0.4281581,0.74318147,0.22001809,0.8685921,Her2
TCGA-A8-A07L-01,-0.54323566,-0.28722006,0.47377002,-0.69519466,1.7698512,-0.1023139,2.1700149,0.7727014,-0.19896935,0.72147775,0.36267328,-0.027697392,0.28111485,1.4928093,1.5040531,0.031478643,-0.7338668,-0.35029706,-1.2814472,-1.2331591,-0.6571633,0.27095217,-0.31201178,-1.0759015,1.0002283,-0.58273154,0.6101072,0.55513656,-1.4641263,-0.4566847,-0.078744076,0.014681157,0.93645275,0.34818,-0.6624025,-1.8316183,1.2281189,-0.20597796,0.8691509,2.0820286,LumB
TCGA-A2-A0SV-01,-1.6104035,-0.3897123,0.6057217,0.70490026,-0.60096776,-0.9907063,0.6517177,0.09609987,0.15316811,0.793606,0.5800272,-0.5516341,-0.7333546,-0.47030723,0.6653572,1.4198327,0.1983097,1.0552906,-0.5516214,-1.2280427,-1.0772048,-0.050853033,0.03181293,0.14375651,-0.279439,-0.70497376,0.97308165,1.4201947,1.2425339,-0.08361646,-0.42161438,1.3367618,0.2841124,-1.4371374,-1.8204817,-0.09827117,0.9472075,0.6907644,-1.4006138,1.2598917,LumB
TCGA-E9-A1RD-01,0.024414979,0.5792364,0.10141815,-0.8500476,-0.044999983,-1.6796119,0.015893325,2.011205,0.13240975,-1.0444881,0.2924163,0.564745,1.0812881,0.04018817,-0.2949242,-0.050737552,-3.908709,-1.1317147,0.33606222,0.5457706,-0.9649753,-0.42647928,0.04524041,0.27336624,1.0260872,-0.3588636,0.13297442,-0.5752294,1.4453638,-0.44088912,0.17565009,-0.33965328,-0.28042817,-1.0667678,-0.16901496,0.08910718,-0.067471266,-0.41214952,-0.74934137,1.0218434,LumA
