Representation,Resample,n_subsample,ARI,NMI
VAE_Z10,48,7432,0.006674634140138692,0.026486218228111327
VAE_Z10,49,7432,0.012968691387263937,0.03820435656339942
VAE_Z10,50,7432,0.01313023865539677,0.040586377155017186
VAE_Z20,1,7432,0.009277957299388614,0.02687887221380231
VAE_Z20,2,7432,0.007639888997428881,0.025324478203608964
VAE_Z20,3,7432,0.008188502412729566,0.029705870250479022
VAE_Z20,4,7432,0.010196966818881426,0.030680419473791843
VAE_Z20,5,7432,0.006449309040076285,0.020219290437533243
VAE_Z20,6,7432,0.016374107656093262,0.04032554914452878
VAE_Z20,7,7432,0.007848703930869715,0.02633735613932355
VAE_Z20,8,7432,0.010802128594451415,0.03159110516990773
VAE_Z20,9,7432,0.009118815711390027,0.027022284527456898
VAE_Z20,10,7432,0.0049954715186025294,0.01839060270053036
VAE_Z20,11,7432,0.003806546231861783,0.016720251568255098
VAE_Z20,12,7432,0.008744710124206715,0.02596595796978133
VAE_Z20,13,7432,0.010662585491701923,0.03318346877362633
VAE_Z20,14,7432,0.004937741273771881,0.01925334334657591
VAE_Z20,15,7432,0.0071540975300228545,0.021766695781614206
VAE_Z20,16,7432,0.010929888429236895,0.03333230062273968
VAE_Z20,17,7432,0.007738662965613255,0.025763754867882932
VAE_Z20,18,7432,0.005048464466717764,0.01885968050371364
VAE_Z20,19,7432,0.3170070903773781,0.46578439745455646
VAE_Z20,20,7432,0.005106515515818788,0.018768841072060973
VAE_Z20,21,7432,0.0074760698119892355,0.02569281716325801
VAE_Z20,22,7432,0.005904836989315822,0.02408719828204158
VAE_Z20,23,7432,0.005450043921786546,0.01971647569512627
VAE_Z20,24,7432,0.005104220015445742,0.01970380610784226
VAE_Z20,25,7432,0.006879454117222103,0.021906279546024175
VAE_Z20,26,7432,0.008935970876355049,0.029592443925820774
VAE_Z20,27,7432,0.006933298450385428,0.022790353105523038
VAE_Z20,28,7432,0.004807794379749586,0.016796115642189722
VAE_Z20,29,7432,0.008923792040644486,0.03460685955198547
VAE_Z20,30,7432,0.008197625436382248,0.02850265471603045
VAE_Z20,31,7432,0.006504541860673873,0.019612167776991003
VAE_Z20,32,7432,0.007201798095291922,0.024546465221159178
VAE_Z20,33,7432,0.009446291951251915,0.030081326545271538
VAE_Z20,34,7432,0.006911121738443184,0.023003601200779156
VAE_Z20,35,7432,0.009260260689827734,0.027991509682308572
VAE_Z20,36,7432,0.0074772177481653036,0.025649320236339274
VAE_Z20,37,7432,0.00938710424497703,0.030282155170000817
VAE_Z20,38,7432,0.008972014588597926,0.028319356024892942
VAE_Z20,39,7432,0.009893732326326538,0.029083528822533185
VAE_Z20,40,7432,0.006929224522787589,0.027944891382592707
VAE_Z20,41,7432,0.011995459178902577,0.029878076550444863
VAE_Z20,42,7432,0.002497734240998346,0.013008756422420577
VAE_Z20,43,7432,0.0052940764567549845,0.019491507928805826
VAE_Z20,44,7432,0.33098487691063566,0.4717429802183214
VAE_Z20,45,7432,0.003939068633128118,0.013699984891109922
VAE_Z20,46,7432,0.3210212815704759,0.45563218819171286
VAE_Z20,47,7432,0.00633556373091445,0.024415172529927098
VAE_Z20,48,7432,0.00914121218190452,0.0318479346999734
VAE_Z20,49,7432,0.010919144781576854,0.033799710166360984
VAE_Z20,50,7432,0.004923445530067936,0.018897085235395485
VAE_Z40,1,7432,0.009373686578066684,0.029153374732633863
VAE_Z40,2,7432,0.011444412446130441,0.03455340291861052
VAE_Z40,3,7432,0.010688041678726395,0.03208533851619508
VAE_Z40,4,7432,0.00942953689749188,0.028865228777498544
VAE_Z40,5,7432,0.006456692694688892,0.02457197051817776
VAE_Z40,6,7432,0.012011178077903755,0.03513396517472371
VAE_Z40,7,7432,0.00898014214965032,0.026546007846767743
VAE_Z40,8,7432,0.00819979840633041,0.0310481902980382
VAE_Z40,9,7432,0.007831048728786516,0.023430288140144386
VAE_Z40,10,7432,0.007789957684520079,0.02847536606334345
VAE_Z40,11,7432,0.009572824914699825,0.03695885649123284
VAE_Z40,12,7432,0.007733072061159846,0.02401377900167205
VAE_Z40,13,7432,0.005261076277220271,0.015866631489649136
VAE_Z40,14,7432,0.01078330680500557,0.03227749101998439
VAE_Z40,15,7432,0.008376807153576,0.025860497442964057
VAE_Z40,16,7432,-0.00015069872033362513,0.006856599031974081
VAE_Z40,17,7432,0.004045300195047901,0.01444961631918686
