"Ensembl_ID","Gene_Symbol","ENTREZID","logFC","t","adj.P.Val"
"ENSG00000126218","F10","2159",0.427641727622296,15.0392348173929,5.96250543215673e-44
"ENSG00000156298","TSPAN7","7102",0.488128568768802,15.0204454292434,7.41004080732336e-44
"ENSG00000123243","ITIH5","80760",0.47882356155518,15.0037858563077,8.97777428116315e-44
"ENSG00000049540","ELN","2006",0.586585012814077,14.9979522654991,9.51466718248381e-44
"ENSG00000241644","INMT","11185",0.510387411935409,14.9978773923523,9.51466718248381e-44
"ENSG00000132031","MATN3","4148",0.581342114595776,14.9850395681324,1.10155978093267e-43
"ENSG00000160801","PTH1R","5745",0.46001136074342,14.9371170727628,1.93345430547271e-43
"ENSG00000109625","CPZ","8532",0.408037370680833,14.9243239049828,2.22813156277981e-43
"ENSG00000277586","NEFL","4747",0.583788104948551,14.9241476886431,2.22813156277981e-43
"ENSG00000117399","CDC20","991",-0.41912501375785,-14.908908597579,2.65325383347362e-43
"ENSG00000022267","FHL1","2273",0.471168161519928,14.8942303661646,3.13836445922338e-43
"ENSG00000175356","SCUBE2","57758",1.01251590227061,14.8813474502528,3.63394442466107e-43
"ENSG00000088882","CPXM1","56265",0.445851257662411,14.8515382636145,5.13935916111208e-43
"ENSG00000198121","LPAR1","1902",0.397092830018486,14.8197765057251,7.43504870321274e-43
"ENSG00000172260","NEGR1","257194",0.502318371414887,14.8069802716911,8.59740161308001e-43
"ENSG00000178999","AURKB","9212",-0.356264614322326,-14.7770060607429,1.21714777546228e-42
"ENSG00000154175","ABI3BP","25890",0.533491720752151,14.7620993703354,1.4425681762926e-42
"ENSG00000144057","ST6GAL2","84620",0.445831235874443,14.7585780026735,1.4952256333698e-42
"ENSG00000006128","TAC1","6863",0.71497584738624,14.7451117048974,1.74225763064796e-42
"ENSG00000135451","TROAP","10024",-0.395471199416026,-14.7255117638456,2.18179959672906e-42
"ENSG00000078098","FAP","2191",0.387145165902554,14.7158918662372,2.42956377897387e-42
"ENSG00000091651","ORC6","23594",-0.586114315907266,-14.7005419743996,2.89378254562276e-42
"ENSG00000005108","THSD7A","221981",0.445074609799975,14.6830073456437,3.53594177531363e-42
"ENSG00000115163","CENPA","1058",-0.364715386595083,-14.6742223450782,3.89871051547209e-42
"ENSG00000165323","FAT3","120114",0.556294013724339,14.6688454590567,4.13022352533341e-42
"ENSG00000174332","GLIS1","148979",0.501346109579153,14.6665792517628,4.21879920074226e-42
"ENSG00000123342","MMP19","4327",0.394238817652899,14.6535441703007,4.88936602316837e-42
"ENSG00000162733","DDR2","4921",0.439930162669671,14.6246090243079,6.82613628378366e-42
"ENSG00000134121","CHL1","10752",0.537811346206006,14.6226489443104,6.94784605857322e-42
"ENSG00000116132","PRRX1","5396",0.350846038606844,14.6218444232642,6.97687904179144e-42
"ENSG00000166963","MAP1A","4130",0.416903578441978,14.5991536650421,9.05139380439131e-42
"ENSG00000261295","RP11-524D16__A.3",NA,0.394520485687794,14.5837950269107,1.07760012137315e-41
"ENSG00000000971","CFH","3075",0.400947847411945,14.5639564044399,1.35173509249507e-41
