"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","4/221","32/1876",0.125,1.06108597285068,0.127330897262091,0.531497983440066,0.983930151161775,0.90162772310407,"2568/9568/5579/5140",4
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","2/221","15/1876",0.133333333333333,1.13182503770739,0.18726996141693,0.542663014294307,0.98826435123516,0.905599382005904,"154664/10351",2
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","2/221","15/1876",0.133333333333333,1.13182503770739,0.18726996141693,0.542663014294307,0.98826435123516,0.905599382005904,"6546/6547",2
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","3/221","24/1876",0.125,1.06108597285068,0.110033365941077,0.550482225698178,0.994419504487032,0.911239677513963,"3908/3111/5294",3
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","2/221","16/1876",0.125,1.06108597285068,0.0896484505637019,0.578826048964494,0.999761594660824,0.916134919919458,"5743/1545",2
"Human Diseases","Immune disease","hsa05330","Allograft rejection","2/221","16/1876",0.125,1.06108597285068,0.0896484505637019,0.578826048964494,0.999761594660824,0.916134919919458,"5551/3111",2
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","3/221","25/1876",0.12,1.01864253393665,0.0342822652732176,0.579307663290086,0.999761594660824,0.916134919919458,"5551/3908/3111",3
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","6/221","52/1876",0.115384615384615,0.979463974939088,-0.0548660145452495,0.587855810029363,0.999761594660824,0.916134919919458,"2982/4638/5140/6546/6547/5294",6
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","4/221","35/1876",0.114285714285714,0.970135746606335,-0.0651563224047478,0.605502784884105,0.999761594660824,0.916134919919458,"5063/3569/9071/3071",4
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","4/221","35/1876",0.114285714285714,0.970135746606335,-0.0651563224047478,0.605502784884105,0.999761594660824,0.916134919919458,"3569/5579/90865/3111",4
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","6/221","53/1876",0.113207547169811,0.960983522581747,-0.105266560046884,0.607320886025807,0.999761594660824,0.916134919919458,"2099/2254/1139/5579/1545/2252",6
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","3/221","27/1876",0.111111111111111,0.943187531422826,-0.108631270952255,0.633366249282567,0.999761594660824,0.916134919919458,"1131/5579/4638",3
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","9/221","82/1876",0.109756097560976,0.931685244454254,-0.231104285683543,0.644611049438528,0.999761594660824,0.916134919919458,"11240/1828/9333/1286/6279/1830/6280/1285/9071",9
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","2/221","18/1876",0.111111111111111,0.943187531422826,-0.0884819798845387,0.644757594672366,0.999761594660824,0.916134919919458,"399694/5140",2
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","4/221","37/1876",0.108108108108108,0.917695976519506,-0.184726345147535,0.650721392465563,0.999761594660824,0.916134919919458,"8326/7475/658/7044",4
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","4/221","37/1876",0.108108108108108,0.917695976519506,-0.184726345147535,0.650721392465563,0.999761594660824,0.916134919919458,"6261/2982/5579/116",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","14/221","128/1876",0.109375,0.928450226244344,-0.306365818695086,0.663722571912192,0.999761594660824,0.916134919919458,"2568/9568/1131/1138/5737/2358/1139/6869/1908/116/5368/5028/2357/5023",14
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","5/221","47/1876",0.106382978723404,0.903051891787812,-0.245911698224664,0.666047524327419,0.999761594660824,0.916134919919458,"5588/1908/2982/5579/4638",5
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","2/221","19/1876",0.105263157894737,0.893546082400572,-0.170384573275125,0.674552324577402,0.999761594660824,0.916134919919458,"2099/399694",2
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","2/221","19/1876",0.105263157894737,0.893546082400572,-0.170384573275125,0.674552324577402,0.999761594660824,0.916134919919458,"399694/4804",2
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","2/221","19/1876",0.105263157894737,0.893546082400572,-0.170384573275125,0.674552324577402,0.999761594660824,0.916134919919458,"2568/1139",2
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","2/221","19/1876",0.105263157894737,0.893546082400572,-0.170384573275125,0.674552324577402,0.999761594660824,0.916134919919458,"5588/440738",2
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","4/221","39/1876",0.102564102564103,0.8706346443903,-0.298258950844596,0.692384545218917,0.999761594660824,0.916134919919458,"6261/858/3569/1536",4
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","2/221","20/1876",0.1,0.848868778280543,-0.248243553200325,0.70229335204418,0.999761594660824,0.916134919919458,"29968/586",2
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","2/221","20/1876",0.1,0.848868778280543,-0.248243553200325,0.70229335204418,0.999761594660824,0.916134919919458,"123099/5579",2
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","2/221","20/1876",0.1,0.848868778280543,-0.248243553200325,0.70229335204418,0.999761594660824,0.916134919919458,"1513/5551",2
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","2/221","20/1876",0.1,0.848868778280543,-0.248243553200325,0.70229335204418,0.999761594660824,0.916134919919458,"1536/90865",2
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","2/221","20/1876",0.1,0.848868778280543,-0.248243553200325,0.70229335204418,0.999761594660824,0.916134919919458,"9568/5579",2
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","2/221","20/1876",0.1,0.848868778280543,-0.248243553200325,0.70229335204418,0.999761594660824,0.916134919919458,"8900/1959",2
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","3/221","30/1876",0.1,0.848868778280543,-0.304857403203999,0.70508287252683,0.999761594660824,0.916134919919458,"5063/5579/917",3
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","4/221","40/1876",0.1,0.848868778280543,-0.352976363218115,0.711854475708932,0.999761594660824,0.916134919919458,"5743/3569/5579/5156",4
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","5/221","50/1876",0.1,0.848868778280543,-0.395718708049194,0.719901890120272,0.999761594660824,0.916134919919458,"22801/3908/6546/6547/3676",5
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","3/221","31/1876",0.0967741935483871,0.821485914465041,-0.366144845823332,0.726480412972584,0.999761594660824,0.916134919919458,"162514/5588/5579",3
"Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","2/221","21/1876",0.0952380952380952,0.808446455505279,-0.322496983483117,0.728048831832698,0.999761594660824,0.916134919919458,"1608/43",2
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","2/221","21/1876",0.0952380952380952,0.808446455505279,-0.322496983483117,0.728048831832698,0.999761594660824,0.916134919919458,"220/8854",2
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","2/221","21/1876",0.0952380952380952,0.808446455505279,-0.322496983483117,0.728048831832698,0.999761594660824,0.916134919919458,"5551/3111",2
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","2/221","21/1876",0.0952380952380952,0.808446455505279,-0.322496983483117,0.728048831832698,0.999761594660824,0.916134919919458,"5743/1545",2
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","4/221","41/1876",0.0975609756097561,0.828164661737115,-0.406428495935417,0.730415282081972,0.999761594660824,0.916134919919458,"7802/9542/3084/440738",4
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","8/221","79/1876",0.10126582278481,0.859613952689157,-0.465758969472415,0.731922153471346,0.999761594660824,0.916134919919458,"4233/2254/3815/284/5579/5156/4804/2252",8
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","3/221","32/1876",0.09375,0.795814479638009,-0.425615313996435,0.74665100913112,0.999761594660824,0.916134919919458,"399694/1286/1285",3
"Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","1/221","11/1876",0.0909090909090909,0.771698889345948,-0.277435941425415,0.749094735611743,0.999761594660824,0.916134919919458,"6489",1
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","1/221","11/1876",0.0909090909090909,0.771698889345948,-0.277435941425415,0.749094735611743,0.999761594660824,0.916134919919458,"3569",1
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","2/221","22/1876",0.0909090909090909,0.771698889345948,-0.393515889940063,0.751899378021764,0.999761594660824,0.916134919919458,"5743/5140",2
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","11/221","109/1876",0.100917431192661,0.856656565237245,-0.563339955009977,0.757807141410215,0.999761594660824,0.916134919919458,"1824/1286/1285/2200/22801/3908/1462/7058/287/2199/3676",11
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","3/221","33/1876",0.0909090909090909,0.771698889345948,-0.483392714296968,0.765622745561362,0.999761594660824,0.916134919919458,"2568/5743/5579",3
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","3/221","33/1876",0.0909090909090909,0.771698889345948,-0.483392714296968,0.765622745561362,0.999761594660824,0.916134919919458,"2568/9568/5579",3
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","2/221","23/1876",0.0869565217391304,0.738146763722211,-0.461617142117667,0.773934209953255,0.999761594660824,0.916134919919458,"1513/51311",2
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","2/221","23/1876",0.0869565217391304,0.738146763722211,-0.461617142117667,0.773934209953255,0.999761594660824,0.916134919919458,"8900/5140",2
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","2/221","23/1876",0.0869565217391304,0.738146763722211,-0.461617142117667,0.773934209953255,0.999761594660824,0.916134919919458,"6546/6547",2
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","1/221","12/1876",0.0833333333333333,0.707390648567119,-0.371495574357475,0.778826673107617,0.999761594660824,0.916134919919458,"29968",1
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","1/221","12/1876",0.0833333333333333,0.707390648567119,-0.371495574357475,0.778826673107617,0.999761594660824,0.916134919919458,"5579",1
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","2/221","24/1876",0.0833333333333333,0.707390648567119,-0.527073407223926,0.794248026703717,0.999761594660824,0.916134919919458,"3569/3111",2
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","3/221","35/1876",0.0857142857142857,0.727601809954751,-0.594304637691789,0.800110245644846,0.999761594660824,0.916134919919458,"1131/5579/116",3
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","3/221","35/1876",0.0857142857142857,0.727601809954751,-0.594304637691789,0.800110245644846,0.999761594660824,0.916134919919458,"658/858/7412",3
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","1/221","13/1876",0.0769230769230769,0.652975983292725,-0.458693467170978,0.805049476349686,0.999761594660824,0.916134919919458,"29968",1
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","1/221","13/1876",0.0769230769230769,0.652975983292725,-0.458693467170978,0.805049476349686,0.999761594660824,0.916134919919458,"5579",1
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","2/221","25/1876",0.08,0.679095022624434,-0.590120935237037,0.812938493087511,0.999761594660824,0.916134919919458,"22977/1545",2
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","2/221","25/1876",0.08,0.679095022624434,-0.590120935237037,0.812938493087511,0.999761594660824,0.916134919919458,"8900/3569",2
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","3/221","36/1876",0.0833333333333333,0.707390648567119,-0.647632022046021,0.815706903035329,0.999761594660824,0.916134919919458,"2099/9568/399694",3
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","1/221","14/1876",0.0714285714285714,0.606334841628959,-0.54013078682846,0.828175652263115,0.999761594660824,0.916134919919458,"1545",1
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","1/221","14/1876",0.0714285714285714,0.606334841628959,-0.54013078682846,0.828175652263115,0.999761594660824,0.916134919919458,"4233",1
"Human Diseases","Immune disease","hsa05310","Asthma","1/221","14/1876",0.0714285714285714,0.606334841628959,-0.54013078682846,0.828175652263115,0.999761594660824,0.916134919919458,"3111",1
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","2/221","27/1876",0.0740740740740741,0.628791687615217,-0.709788392800132,0.845843276525264,0.999761594660824,0.916134919919458,"2982/5140",2
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","2/221","27/1876",0.0740740740740741,0.628791687615217,-0.709788392800132,0.845843276525264,0.999761594660824,0.916134919919458,"4233/1545",2
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","1/221","15/1876",0.0666666666666667,0.565912518853695,-0.616662412995338,0.84856941211803,0.999761594660824,0.916134919919458,"7368",1
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","1/221","15/1876",0.0666666666666667,0.565912518853695,-0.616662412995338,0.84856941211803,0.999761594660824,0.916134919919458,"3569",1
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","2/221","28/1876",0.0714285714285714,0.606334841628959,-0.766748235071536,0.86025179482645,0.999761594660824,0.916134919919458,"1513/3932",2
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","1/221","16/1876",0.0625,0.530542986425339,-0.688964944146968,0.866552302994932,0.999761594660824,0.916134919919458,"5588",1
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","2/221","29/1876",0.0689655172413793,0.585426743641754,-0.821986354198711,0.873423218121978,0.999761594660824,0.916134919919458,"3569/917",2
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","2/221","29/1876",0.0689655172413793,0.585426743641754,-0.821986354198711,0.873423218121978,0.999761594660824,0.916134919919458,"5579/1536",2
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","3/221","41/1876",0.0731707317073171,0.621123496302836,-0.896126542418937,0.879049610084717,0.999761594660824,0.916134919919458,"715/716/3111",3
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","1/221","17/1876",0.0588235294117647,0.499334575459143,-0.75758285953956,0.882408185273492,0.999761594660824,0.916134919919458,"79695",1
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","1/221","17/1876",0.0588235294117647,0.499334575459143,-0.75758285953956,0.882408185273492,0.999761594660824,0.916134919919458,"5579",1
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","1/221","18/1876",0.0555555555555556,0.471593765711413,-0.822960715563276,0.89638763177944,0.999761594660824,0.916134919919458,"5579",1
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","1/221","18/1876",0.0555555555555556,0.471593765711413,-0.822960715563276,0.89638763177944,0.999761594660824,0.916134919919458,"5140",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","5/221","65/1876",0.0769230769230769,0.652975983292725,-1.04029080373611,0.898105096888075,0.999761594660824,0.916134919919458,"2099/117247/658/1734/5368",5
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","3/221","43/1876",0.0697674418604651,0.592234031358518,-0.988238448772936,0.898446116283442,0.999761594660824,0.916134919919458,"1131/952/5579",3
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","2/221","32/1876",0.0625,0.530542986425339,-0.978561525254961,0.906394762452423,0.999761594660824,0.916134919919458,"6546/6547",2
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","1/221","19/1876",0.0526315789473684,0.446773041200286,-0.885466138071844,0.908711815512887,0.999761594660824,0.916134919919458,"5156",1
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","2/221","33/1876",0.0606060606060606,0.514465926230632,-1.02804420500034,0.915476828058298,0.999761594660824,0.916134919919458,"5743/5579",2
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","1/221","20/1876",0.05,0.424434389140272,-0.945406585840759,0.919575945169134,0.999761594660824,0.916134919919458,"9071",1
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","1/221","21/1876",0.0476190476190476,0.404223227752639,-1.00304179902229,0.929152300835956,0.999761594660824,0.916134919919458,"1545",1
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","1/221","21/1876",0.0476190476190476,0.404223227752639,-1.00304179902229,0.929152300835956,0.999761594660824,0.916134919919458,"8900",1
"Human Diseases","Substance dependence","hsa05034","Alcoholism","2/221","37/1876",0.0540540540540541,0.458847988259753,-1.21458258139353,0.944174151866458,0.999761594660824,0.916134919919458,"399694/5569",2
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","1/221","23/1876",0.0434782608695652,0.369073381861106,-1.11225107045181,0.945031948310552,0.999761594660824,0.916134919919458,"5743",1
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","1/221","23/1876",0.0434782608695652,0.369073381861106,-1.11225107045181,0.945031948310552,0.999761594660824,0.916134919919458,"8110",1
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","1/221","25/1876",0.04,0.339547511312217,-1.21452413574729,0.95736482423501,0.999761594660824,0.916134919919458,"2327",1
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","1/221","25/1876",0.04,0.339547511312217,-1.21452413574729,0.95736482423501,0.999761594660824,0.916134919919458,"5579",1
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","1/221","25/1876",0.04,0.339547511312217,-1.21452413574729,0.95736482423501,0.999761594660824,0.916134919919458,"5579",1
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","1/221","25/1876",0.04,0.339547511312217,-1.21452413574729,0.95736482423501,0.999761594660824,0.916134919919458,"5579",1
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","2/221","40/1876",0.05,0.424434389140272,-1.3442692635133,0.959350882513865,0.999761594660824,0.916134919919458,"8326/7475",2
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","2/221","42/1876",0.0476190476190476,0.404223227752639,-1.42661347093737,0.967186105389827,0.999761594660824,0.916134919919458,"338382/5743",2
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","3/221","56/1876",0.0535714285714286,0.454751131221719,-1.51339002297725,0.969633365709889,0.999761594660824,0.916134919919458,"6546/6547/5294",3
"Organismal Systems","Digestive system","hsa04976","Bile secretion","1/221","30/1876",0.0333333333333333,0.282956259426848,-1.44639929623933,0.977439157143432,0.999761594660824,0.916134919919458,"366",1
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","1/221","32/1876",0.03125,0.26527149321267,-1.53150773651349,0.982518985076211,0.999761594660824,0.916134919919458,"4023",1
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","1/221","34/1876",0.0294117647058824,0.249667287729571,-1.61304431996639,0.986459030454401,0.999761594660824,0.916134919919458,"7802",1
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","1/221","35/1876",0.0285714285714286,0.242533936651584,-1.65260126826587,0.988083652750588,0.999761594660824,0.916134919919458,"8900",1
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","1/221","35/1876",0.0285714285714286,0.242533936651584,-1.65260126826587,0.988083652750588,0.999761594660824,0.916134919919458,"5579",1
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","4/221","82/1876",0.0487804878048781,0.414082330868558,-1.98212060209035,0.991406206964291,0.999761594660824,0.916134919919458,"9568/1908/116/5140",4
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","1/221","38/1876",0.0263157894736842,0.223386520600143,-1.7669397573327,0.991882352471582,0.999761594660824,0.916134919919458,"5579",1
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","1/221","40/1876",0.025,0.212217194570136,-1.83991571366089,0.993717580924102,0.999761594660824,0.916134919919458,"9071",1
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","1/221","40/1876",0.025,0.212217194570136,-1.83991571366089,0.993717580924102,0.999761594660824,0.916134919919458,"5579",1
"Cellular Processes","Cell motility","hsa04814","Motor proteins","1/221","55/1876",0.0181818181818182,0.15433977786919,-2.32551983750345,0.99908965366562,0.999761594660824,0.916134919919458,"7802",1
"Metabolism","Global and overview maps","hsa01100","Metabolic pathways","20/221","310/1876",0.0645161290322581,0.547657276310028,-3.18456670793389,0.999761594660824,0.999761594660824,0.916134919919458,"123099/29968/7368/6489/23007/8424/9388/5743/4248/1608/220/952/2327/79695/586/2982/8854/5140/8395/5294",20
