"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","4/68","82/1876",0.0487804878048781,1.34576757532281,0.620777332820779,0.346051604466302,0.856470480227346,0.852626671462556,"107/4886/1908/2891",4
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","2/68","34/1876",0.0588235294117647,1.62283737024221,0.710599973983294,0.351228452168371,0.856470480227346,0.852626671462556,"7802/2891",2
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","2/68","34/1876",0.0588235294117647,1.62283737024221,0.710599973983294,0.351228452168371,0.856470480227346,0.852626671462556,"2099/5241",2
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","6/68","134/1876",0.0447761194029851,1.23529411764706,0.548018567475886,0.357220362582767,0.856470480227346,0.852626671462556,"2099/107/4312/3909/5366/2264",6
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","1/68","12/1876",0.0833333333333333,2.29901960784314,0.875264380366094,0.358775587954612,0.856470480227346,0.852626671462556,"2875",1
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","1/68","12/1876",0.0833333333333333,2.29901960784314,0.875264380366094,0.358775587954612,0.856470480227346,0.852626671462556,"2099",1
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","1/68","13/1876",0.0769230769230769,2.12217194570136,0.787191752261908,0.382167894831805,0.856470480227346,0.852626671462556,"2875",1
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","1/68","13/1876",0.0769230769230769,2.12217194570136,0.787191752261908,0.382167894831805,0.856470480227346,0.852626671462556,"5366",1
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","1/68","13/1876",0.0769230769230769,2.12217194570136,0.787191752261908,0.382167894831805,0.856470480227346,0.852626671462556,"8972",1
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","2/68","37/1876",0.0540540540540541,1.4912559618442,0.585158759698376,0.390966186168858,0.856470480227346,0.852626671462556,"107/2891",2
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","1/68","14/1876",0.0714285714285714,1.97058823529412,0.706748803093122,0.404718932486897,0.856470480227346,0.852626671462556,"2875",1
